,,,,IUCN Red List version 2018-1: Table 7,,,
,,,,,,Last Updated: 05 July 2018,
Table 7: Species changing IUCN Red List Status (2017-2018),,,,,,,
Published listings of a species' status may change for a variety of reasons (genuine improvement or deterioration in status; new information being available,,,,,,,
"that was not known at the time of the previous assessment; taxonomic changes; corrections to mistakes made in previous assessments, etc. To help Red",,,,,,,
"List users interpret the changes between the Red List updates, a summary of species that have changed category between 2017 (IUCN Red List version",,,,,,,
2017-3) and 2018 (IUCN Red List version 2018-1) and the reasons for these changes is provided in the table below.,,,,,,,
IUCN Red List Categories:,"EX - Extinct, EW - Extinct in the Wild, CR - Critically Endangered [CR(PE) - Critically Endangered (Possibly Extinct),",,,,,,
"CR(PEW) - Critically Endangered (Possibly Extinct in the Wild)], EN - Endangered, VU - Vulnerable, LR/cd - Lower Risk/conservation dependent, NT -",,,,,,,
"Near Threatened (includes LR/nt - Lower Risk/near threatened), DD - Data Deficient, LC - Least Concern (includes LR/lc - Lower Risk, least concern).",,,,,,,
Reasons for change:,"G - Genuine status change (genuine improvement or deterioration in the species' status); N - Non-genuine status change (i.e.,",,,,,,
"status changes due to new information, improved knowledge of the criteria, incorrect data used previously, taxonomic revision, etc.); E - Previous listing",,,,,,,
was an Error.,,,,,,,
,,IUCN Red List,IUCN Red,,,,
,,,,Reason for,Red List,,
Nepenthes eymae,,VU,LC,N,2018-1
Nepenthes faizaliana,,VU,LC,N,2018-1
,,IUCN Red List,IUCN Red,,
,,,,Reason for,Red List
Scientific name,Common name,(2017),List (2018),,
,,,,change,version
,,Category,Category,,
Nepenthes fusca,,VU,LC,N,2018-1
Nepenthes glabrata,,VU,LC,N,2018-1
Nepenthes gracillima,,EN,LC,N,2018-1
Nepenthes hamata,,VU,LC,N,2018-1
Nepenthes hirsuta,,LR/cd,LC,N,2018-1
Nepenthes inermis,,VU,LC,N,2018-1
Nepenthes insignis,,VU,LC,N,2018-1
Nepenthes macfarlanei,,VU,LC,N,2018-1
Nepenthes macrovulgaris,,VU,LC,N,2018-1
Nepenthes madagascariensis,,VU,LC,N,2018-1
Nepenthes mapuluensis,,LR/nt,EN,G,2018-1
Nepenthes muluensis,,VU,LC,N,2018-1
Nepenthes murudensis,,EN,LC,N,2018-1
Nepenthes ovata,,VU,LC,N,2018-1
Nepenthes pervillei,,VU,LC,N,2018-1
Nepenthes sanguinea,,LR/cd,LC,N,2018-1
Nepenthes singalana,,VU,LC,N,2018-1
Nepenthes spathulata,,VU,LC,N,2018-1
Nepenthes tomoriana,,VU,LC,N,2018-1
Nepenthes veitchii,,LR/nt,LC,N,2018-1
Nepenthes ventricosa,,LR/nt,LC,N,2018-1
Nepenthes villosa,,VU,LC,N,2018-1
Nothofagus baumanniae,,LR/cd,EN,N,2018-1
Nothofagus discoidea,,VU,EN,N,2018-1
Nothofagus stylosa,,VU,CR,N,2018-1
Oeonia brauniana,,LC,VU,N,2018-1
Ossiculum aurantiacum,,CR,EN,N,2018-1
Pinguicula mundi,Atrapamoscas,VU,LC,N,2018-1
Polyspora hirtella,,VU,DD,N,2018-1
Polyspora maingayi,,VU,LC,N,2018-1
Polyspora multinervis,,VU,LC,N,2018-1
Polyspora scortechinii,,VU,CR,N,2018-1
Polyspora taipingensis,,VU,NT,N,2018-1
Premna maxima,,VU,EN,N,2018-1
Pseudarrhenatherum pallens,,EN,VU,N,2018-1
Pterocarpus angolensis,Bloodwood Tree,LR/nt,LC,N,2018-1
Pterocarpus dalbergioides,East Indian Mahogany,DD,VU,N,2018-1
Pterocarpus santalinus,Red Sandalwood,EN,NT,N,2018-1
Pyrenaria pahangensis,,LR/cd,DD,N,2018-1
Quercus deliquescens,,VU,DD,N,2018-1
Quercus hintonii,Encino prieto,CR,EN,N,2018-1
Sobennikoffia poissoniana,,VU,EN,N,2018-1
Stonesia fascicularis,,DD,CR,N,2018-1
Stonesia gracilis,,DD,CR,N,2018-1
Syringa josikaea,Hungarian Lilac,DD,EN,N,2018-1
Tephrosia pinifolia,,DD,CR,N,2018-1
Varronia rupicola,,CR,EN,N,2018-1
Vatica bantamensis,,EN,CR,G,2018-1
